sentence_index	term	translation	audit_label	audit_note
2	NLP task	自然言語処理タスク	valid_compound_or_orthography	自然言語処理のタスク 与固定串 自然言語処理タスク 仅差助词，语义完整。
6	lexical	語彙的	valid_alignment_boundary	流式分句出现截断、前后句串接或延迟提交，当前对齐 hypothesis 不能作为独立术语错误归因。
6	linguistic	言語的	omitted_term	当前 hypothesis 未表达源文中的该术语概念，保守判为遗漏。
16	words	単語	omitted_term	当前 hypothesis 未表达源文中的该术语概念，保守判为遗漏。
18	speech	スピーチ	wrong_translation	text-to-speech 被译为 テキスト要約（文本摘要），speech 概念发生实质错译。
26	English	英語	valid_alignment_boundary	流式分句出现截断、前后句串接或延迟提交，当前对齐 hypothesis 不能作为独立术语错误归因。
26	texts	テキスト	valid_alignment_boundary	流式分句出现截断、前后句串接或延迟提交，当前对齐 hypothesis 不能作为独立术语错误归因。
26	words	単語	valid_alignment_boundary	流式分句出现截断、前后句串接或延迟提交，当前对齐 hypothesis 不能作为独立术语错误归因。
27	extracting	抽出	valid_alignment_boundary	流式分句出现截断、前后句串接或延迟提交，当前对齐 hypothesis 不能作为独立术语错误归因。
27	spans	スパン	valid_alignment_boundary	流式分句出现截断、前后句串接或延迟提交，当前对齐 hypothesis 不能作为独立术语错误归因。
28	word	単語	valid_paraphrase	源文转写的 previous word 很可能是 previous work；hypothesis 给出先行研究内容，固定 word→単語 不适用。
30	approach	アプローチ	valid_paraphrase	hypothesis 用上下文合适的日语同义或意译表达了该概念，固定字符串未命中。
33	generalize	一般化する	valid_morphology	hypothesis 使用了符合日语语法或派生关系的词形变体，属于 exact-match 假阴性。
33	unseen	見えない	valid_paraphrase	hypothesis 用上下文合适的日语同义或意译表达了该概念，固定字符串未命中。
36	annotated	注釈付き	valid_morphology	hypothesis 使用了符合日语语法或派生关系的词形变体，属于 exact-match 假阴性。
48	learning	学習	valid_compound_or_orthography	machine learning 被输出为 machinelearning，属于空格表记差异。
48	machine learning	機械学習	valid_compound_or_orthography	machine learning 被输出为 machinelearning，属于空格表记差异。
52	dataset	データセット	omitted_term	当前 hypothesis 未表达源文中的该术语概念，保守判为遗漏。
53	word	単語	valid_compound_or_orthography	hypothesis 以连写、片假名、大小写或表记变体表达目标，属于 exact-match 假阴性。
54	encode	エンコード	valid_morphology	hypothesis 使用了符合日语语法或派生关系的词形变体，属于 exact-match 假阴性。
60	features	機能	valid_paraphrase	features 被正确译为 特徴量；固定译法 機能 在机器学习语境中反而不自然。
61	features	機能	valid_paraphrase	features 被正确译为 特徴量；固定译法 機能 在机器学习语境中反而不自然。
62	features	機能	valid_paraphrase	features 被正确译为 特徴量；固定译法 機能 在机器学习语境中反而不自然。
65	features	機能	valid_paraphrase	features 被正确译为 特徴量；固定译法 機能 在机器学习语境中反而不自然。
65	named entity recognition	名前付きエンティティ認識	wrong_translation	named entity recognition 被错译为 名詞認識，丢失命名实体含义。
67	features	機能	valid_paraphrase	hypothesis 用上下文合适的日语同义或意译表达了该概念，固定字符串未命中。
68	detection	検出	omitted_term	当前 hypothesis 未表达源文中的该术语概念，保守判为遗漏。
68	features	機能	valid_paraphrase	hypothesis 用上下文合适的日语同义或意译表达了该概念，固定字符串未命中。
72	transformers	トランスフォーマー	valid_compound_or_orthography	Transformers 专名只存在大小写/脚本表记差异。
74	metrics	メトリックス	valid_paraphrase	metrics 被译为 指標，是比固定 メトリックス 更自然的同义表达。
77	question	質問	valid_paraphrase	hypothesis 用上下文合适的日语同义或意译表达了该概念，固定字符串未命中。
79	text	テキスト	valid_compound_or_orthography	FastText 是专名整体，固定 text→テキスト 的子词要求不适用。
80	BETO	BETO	wrong_translation	BETO 被替换为 BERT，属于模型专名错误。
80	contextualized	文脈で理解できる	valid_paraphrase	non-contextualized 被译为 非文脈依存型，比固定 文脈で理解できる 更准确。
91	pretrained	事前訓練された	valid_morphology	hypothesis 使用了符合日语语法或派生关系的词形变体，属于 exact-match 假阴性。
97	annotated	注釈付き	valid_alignment_boundary	流式分句出现截断、前后句串接或延迟提交，当前对齐 hypothesis 不能作为独立术语错误归因。
97	lexical	語彙的	valid_alignment_boundary	流式分句出现截断、前后句串接或延迟提交，当前对齐 hypothesis 不能作为独立术语错误归因。
97	newswire	ニュースワイヤー	valid_alignment_boundary	流式分句出现截断、前后句串接或延迟提交，当前对齐 hypothesis 不能作为独立术语错误归因。
98	OOV	OOV	valid_alignment_boundary	流式分句出现截断、前后句串接或延迟提交，当前对齐 hypothesis 不能作为独立术语错误归因。
98	previous	前の	valid_alignment_boundary	流式分句出现截断、前后句串接或延迟提交，当前对齐 hypothesis 不能作为独立术语错误归因。
98	resources	リソース	valid_alignment_boundary	流式分句出现截断、前后句串接或延迟提交，当前对齐 hypothesis 不能作为独立术语错误归因。
103	embedding	埋込み	valid_compound_or_orthography	埋め込み 与固定表记 埋込み 仅有送り仮名差异。
113	pretrained language	事前訓練された言語	valid_paraphrase	hypothesis 用上下文合适的日语同义或意译表达了该概念，固定字符串未命中。
114	number	いくつも	valid_paraphrase	hypothesis 用上下文合适的日语同义或意译表达了该概念，固定字符串未命中。
115	lexical	語彙的	valid_morphology	hypothesis 使用了符合日语语法或派生关系的词形变体，属于 exact-match 假阴性。
118	oracle	Oracle	omitted_term	oracle 限定语被省略；固定保留 Oracle 也不是唯一自然译法，保守仍按遗漏。
121	morphologically	形態素	valid_morphology	hypothesis 使用了符合日语语法或派生关系的词形变体，属于 exact-match 假阴性。
122	KinyaBERT	KinyaBERT	valid_alignment_boundary	流式分句出现截断、前后句串接或延迟提交，当前对齐 hypothesis 不能作为独立术语错误归因。
122	morphologically	形態素	valid_morphology	hypothesis 使用了符合日语语法或派生关系的词形变体，属于 exact-match 假阴性。
130	speech	スピーチ	valid_paraphrase	part of speech 被正确整体译为 品詞，不应要求 speech 单独译为 スピーチ。
136	vectors	ベクトル	valid_alignment_boundary	流式分句出现截断、前后句串接或延迟提交，当前对齐 hypothesis 不能作为独立术语错误归因。
137	speech	スピーチ	valid_paraphrase	part of speech 被正确整体译为 品詞，不应要求 speech 单独译为 スピーチ。
138	embedding	埋込み	valid_morphology	hypothesis 使用了符合日语语法或派生关系的词形变体，属于 exact-match 假阴性。
141	morphological analyzer	形態素アナライザー	valid_paraphrase	morphological analyzer 被译为 形態的アナライザー，语义保留但表记不一致。
141	Morphology	語形論	valid_paraphrase	Morphology 被译为 形態論，是语境正确的同义术语。
143	speech	スピーチ	valid_paraphrase	part of speech 被正确整体译为 品詞，不应要求 speech 单独译为 スピーチ。
145	speech	スピーチ	valid_paraphrase	part of speech 被正确整体译为 品詞，不应要求 speech 单独译为 スピーチ。
146	speech	スピーチ	valid_paraphrase	part of speech 被正确整体译为 品詞，不应要求 speech 单独译为 スピーチ。
149	morphological	形態的	valid_paraphrase	hypothesis 用上下文合适的日语同义或意译表达了该概念，固定字符串未命中。
150	information	情報	wrong_translation	positional information 被替换为 positional encoding，技术概念不完全等价。
151	ICLR	ICLR	wrong_translation	ICLR 被替换为 ACL，属于会议专名错误。
162	pretrained	事前訓練された	valid_morphology	hypothesis 使用了符合日语语法或派生关系的词形变体，属于 exact-match 假阴性。
164	pretrained	事前訓練された	valid_morphology	hypothesis 使用了符合日语语法或派生关系的词形变体，属于 exact-match 假阴性。
