method	lang	lm	BLEU	StreamLAAL	TERM_ACC	source_type	source_path	source_snapshot	status	note
Offline ST	de	NA	35.7641	NA	0.7057	legacy_plot_data	documents/code/simuleval/reports/20260521_tagged_acl_main_results_fourline_llmgen_rasst_data.tsv	main_result_tagged.pdf	legacy_reference	Old En-De offline ST horizontal reference from main_result_tagged.pdf source rows.
Oracle term upper bound	de	NA	41.4850	NA	0.9080	current_plot_data	documents/code/train/term_train/reports/EMNLP_26_InfiniSST_RAG_src/plot/figure_01_main_result_tagged/data.tsv	new_main_result_tagged.pdf	offline_reference	Offline full-context LLM with oracle/GT terms; plotted as the blue upper-bound reference.
InfiniSST	de	1	27.4672	1124.0000	0.6496	legacy_plot_data	documents/code/simuleval/reports/20260521_tagged_acl_main_results_fourline_llmgen_rasst_data.tsv	main_result_tagged.pdf	legacy_reference	Old En-De InfiniSST line from main_result_tagged.pdf source rows.
InfiniSST	de	2	31.6370	1773.0000	0.6744	legacy_plot_data	documents/code/simuleval/reports/20260521_tagged_acl_main_results_fourline_llmgen_rasst_data.tsv	main_result_tagged.pdf	legacy_reference	Old En-De InfiniSST line from main_result_tagged.pdf source rows.
InfiniSST	de	3	31.7033	2383.0000	0.6864	legacy_plot_data	documents/code/simuleval/reports/20260521_tagged_acl_main_results_fourline_llmgen_rasst_data.tsv	main_result_tagged.pdf	legacy_reference	Old En-De InfiniSST line from main_result_tagged.pdf source rows.
InfiniSST	de	4	32.6733	2808.0000	0.6881	legacy_plot_data	documents/code/simuleval/reports/20260521_tagged_acl_main_results_fourline_llmgen_rasst_data.tsv	main_result_tagged.pdf	legacy_reference	Old En-De InfiniSST line from main_result_tagged.pdf source rows.
SLLM+RAG (no TM-SFT)	de	1	26.8311	1012.7922	0.7850	legacy_plot_data	documents/code/simuleval/reports/20260521_tagged_acl_main_results_fourline_llmgen_rasst_data.tsv	main_result_tagged.pdf	legacy_reference	Old En-De current SLLM+RAG no-term-map-SFT line from main_result_tagged.pdf source rows.
SLLM+RAG (no TM-SFT)	de	2	31.3302	1605.7605	0.8396	legacy_plot_data	documents/code/simuleval/reports/20260521_tagged_acl_main_results_fourline_llmgen_rasst_data.tsv	main_result_tagged.pdf	legacy_reference	Old En-De current SLLM+RAG no-term-map-SFT line from main_result_tagged.pdf source rows.
SLLM+RAG (no TM-SFT)	de	3	25.8440	2072.1714	0.7187	legacy_plot_data	documents/code/simuleval/reports/20260521_tagged_acl_main_results_fourline_llmgen_rasst_data.tsv	main_result_tagged.pdf	legacy_reference	Old En-De current SLLM+RAG no-term-map-SFT line from main_result_tagged.pdf source rows.
SLLM+RAG (no TM-SFT)	de	4	32.9821	2622.3082	0.8182	legacy_plot_data	documents/code/simuleval/reports/20260521_tagged_acl_main_results_fourline_llmgen_rasst_data.tsv	main_result_tagged.pdf	legacy_reference	Old En-De current SLLM+RAG no-term-map-SFT line from main_result_tagged.pdf source rows.
RASST (LLM-generated TM SFT)	de	1	25.1851	970.4056	0.7914	legacy_plot_data	documents/code/simuleval/reports/20260521_tagged_acl_main_results_fourline_llmgen_rasst_data.tsv	main_result_tagged.pdf	legacy_reference	Old En-De RASST line renamed per ablation: LLM-generated term-map SFT.
RASST (LLM-generated TM SFT)	de	2	30.9970	1574.8564	0.8171	legacy_plot_data	documents/code/simuleval/reports/20260521_tagged_acl_main_results_fourline_llmgen_rasst_data.tsv	main_result_tagged.pdf	legacy_reference	Old En-De RASST line renamed per ablation: LLM-generated term-map SFT.
RASST (LLM-generated TM SFT)	de	3	30.8434	2031.7121	0.8107	legacy_plot_data	documents/code/simuleval/reports/20260521_tagged_acl_main_results_fourline_llmgen_rasst_data.tsv	main_result_tagged.pdf	legacy_reference	Old En-De RASST line renamed per ablation: LLM-generated term-map SFT.
RASST (LLM-generated TM SFT)	de	4	33.2847	2758.4977	0.8396	legacy_plot_data	documents/code/simuleval/reports/20260521_tagged_acl_main_results_fourline_llmgen_rasst_data.tsv	main_result_tagged.pdf	legacy_reference	Old En-De RASST line renamed per ablation: LLM-generated term-map SFT.
RASST	de	1	26.6342	1005.4469	0.7914	current_plot_data	documents/code/train/term_train/reports/EMNLP_26_InfiniSST_RAG_src/plot/figure_01_main_result_tagged/data.tsv	new_main_result_tagged.pdf	verified	Current main En-De RASST result from new_main_result_tagged.pdf source rows.
RASST	de	2	29.5239	1579.3577	0.8406	current_plot_data	documents/code/train/term_train/reports/EMNLP_26_InfiniSST_RAG_src/plot/figure_01_main_result_tagged/data.tsv	new_main_result_tagged.pdf	verified	Current main En-De RASST result from new_main_result_tagged.pdf source rows.
RASST	de	3	32.7061	2209.1550	0.8481	current_plot_data	documents/code/train/term_train/reports/EMNLP_26_InfiniSST_RAG_src/plot/figure_01_main_result_tagged/data.tsv	new_main_result_tagged.pdf	verified	Current main En-De RASST result from new_main_result_tagged.pdf source rows.
RASST	de	4	33.3787	2697.1732	0.8599	current_plot_data	documents/code/train/term_train/reports/EMNLP_26_InfiniSST_RAG_src/plot/figure_01_main_result_tagged/data.tsv	new_main_result_tagged.pdf	verified	Current main En-De RASST result from new_main_result_tagged.pdf source rows.
