sentence_index	paper_id	speaker_id	start_sec	end_sec	duration_sec	source	reference	newv9_hyp	tmv4_hyp	norag_hyp	newv9_chrf	tmv4_chrf	norag_chrf	tmv4_minus_newv9_chrf	norag_minus_newv9_chrf	newv9_words	tmv4_words	norag_words	ref_words	term_map_count	term_map	gold_terms	newv9_adopted	newv9_missed	tmv4_adopted	tmv4_missed	newv9_false_copy_from_term_map	newv9_term_tag_chunks_overlapping_sentence
0	2022.acl-long.268	NA	2.445	11.605	9.160	Hi, this is Elena and I'm going to be presenting our work, Detecting Unassimilated Borrowings in Spanish: An Annotated Corpus and Approaches to Modeling.	Hallo, hier ist Elena und ich stelle nun unsere Arbeit vor: Die Erkennung nicht-assimilierter Entlehnungen im Spanischen: Ein annotierter Korpus und Ansätze zur Modellierung.	Gut. Hallo, hier ist Elena, und ich werde unsere Arbeit zum Thema Erkennung unassimilierter Entlehnungen im Spanischen und ein annotierter Korpus sowie Ansätze zur Modellierung	Drei . Hallo, hier ist Elena , und ich werde unsere Arbeit zur Erkennung von unassimilierten Entlehnungen im Spanischen vorstellen und annotiert Korpus und Ansätze zur Modellierung.	Gut , hier spricht Elena , und ich werde unsere Arbeit zum Nachweis nicht assimilierter Entlehnungen im Spanischen vorstellen und annotierte Korpora sowie Ansätze zur Modellierung	92.529	94.828	89.655	2.299	-2.874	25	25	24	25	6	annotated->annotiert; annotated corpus->annotierter Korpus; corpus->Korpus; detecting->Erkennung; modeling->Modellierung; propose->vorzuschlagen	annotated->annotiert; Annotated Corpus->annotierter Korpus; corpus->Korpus; Detecting->Erkennung; Modeling->Modellierung	annotated->annotiert; Annotated Corpus->annotierter Korpus; corpus->Korpus; Detecting->Erkennung; Modeling->Modellierung		annotated->annotiert; corpus->Korpus; Detecting->Erkennung; Modeling->Modellierung	Annotated Corpus->annotierter Korpus		3
1	2022.acl-long.268	NA	14.784	24.838	10.054	So we're going to be covering what lexical borrowing is, the task that we proposed, the dataset that we have released and some models that we explored.	Wir werden uns also damit beschäftigen, was die lexikalische Entlehnung ist, die von uns vorgeschlagene Aufgabe, den veröffentlichten Datensatz und einige untersuchte Modelle.	vorstellen. Gut, wir werden uns damit beschäftigen, was lexikalische Entlehnungen sind, die Aufgabe, die wir vorgeschlagen haben, den Datensatz, den wir veröffentlicht haben , und einige Modelle, die	Daher werden wir uns mit lexikalischen Entlehnungen beschäftigen , der Aufgabe, dem Datensatz, den wir vorgeschlagen haben , den wir veröffentlicht haben , und einigen Modellen, die	erläutern. Daher werden wir uns mit dem lexikalischen Entlehen beschäftigen, der Aufgabe , die wir vorgeschlagen haben, den Datensatz, den wir veröffentlicht haben, und einigen Modellen, die	95.429	89.714	90.857	-5.714	-4.571	27	24	26	23	8	data->Daten; dataset->Datensatz; datasets->Datensätzen; lexical->lexikalische; models->Modelle; propose->vorzuschlagen; task->Aufgabe; tasks->Aufgaben	dataset->Datensatz; lexical->lexikalische; models->Modelle; task->Aufgabe	dataset->Datensatz; lexical->lexikalische; models->Modelle; task->Aufgabe		dataset->Datensatz; lexical->lexikalische; models->Modelle; task->Aufgabe			3
2	2022.acl-long.268	NA	25.561	30.152	4.591	But to begin with, what is lexical borrowing and why it matters as an NLP task?	Doch zunächst einmal: Was ist die lexikalische Entlehnung und warum ist sie als NLP-Aufgabe so wichtig?	wir untersucht haben. Aber zunächst einmal, was ist lexikalische Entlehnung und warum ist sie eine NLP-Aufgabe? Nun,	wir untersucht haben. Aber zunächst, was sind lexikalische Entlehnungen und warum sie als NLP-Aufgabe von Bedeutung	wir untersucht haben. Aber zunächst einmal, was ist lexikalisches Entlehen und warum es als NLP-Aufgabe von Bedeutung	89.320	87.379	89.320	-1.942	0.000	18	17	18	17	5	lexical->lexikalische; nlp->NLP; nlp task->NLP-Aufgabe; task->Aufgabe; tasks->Aufgaben	lexical->lexikalische; NLP->NLP; NLP task->NLP-Aufgabe; task->Aufgabe	lexical->lexikalische; NLP->NLP; NLP task->NLP-Aufgabe; task->Aufgabe		lexical->lexikalische; NLP->NLP; NLP task->NLP-Aufgabe; task->Aufgabe			2
3	2022.acl-long.268	NA	31.174	36.671	5.497	Well, lexical borrowing is basically the incorporation of words from one language into another language.	Die lexikalische Entlehnung ist im Grunde die Übernahme von Wörtern aus einer Sprache in eine andere Sprache.	lexikalische Entlehnung ist im Grunde die Aufnahme von Wörtern aus einer Sprache in eine andere Sprache.	sind? Nun, lexikalische Entlehnung ist im Grunde die Aufnahme von Wörtern aus einer Sprache in eine andere Sprache.	ist? Nun, lexikalisches Entlehen ist im Grunde die Aufnahme von Wörtern aus einer Sprache in eine andere Sprache.	92.661	94.495	94.495	1.835	1.835	16	18	18	17	8	language->Sprache; languages->Sprachen; lexical->lexikalische; nlp task->NLP-Aufgabe; task->Aufgabe; tasks->Aufgaben; word->Wort; words->Wörtern	language->Sprache; lexical->lexikalische; words->Wörtern	language->Sprache; lexical->lexikalische; words->Wörtern		language->Sprache; lexical->lexikalische; words->Wörtern			2
4	2022.acl-long.268	NA	36.671	40.177	3.506	For instance, in Spanish we use words that come from English.	Zum Beispiel verwenden wir im Spanischen Wörter, die aus dem Englischen stammen.	Zum Beispiel verwenden wir im Spanischen Wörtern, die aus dem Englischen stammen,	Zum Beispiel verwenden wir im Spanischen Wörter, die aus dem Englischen stammen	Zum Beispiel verwenden wir im Spanischen Wörter, die aus dem Englischen stammen	98.750	98.750	98.750	0.000	0.000	12	12	12	12	5	english->Englischen; language->Sprache; languages->Sprachen; word->Wort; words->Wörtern	English->Englischen	English->Englischen		English->Englischen			2
5	2022.acl-long.268	NA	40.277	48.197	7.920	And here you have a few examples, words such as podcast, app, and online crowdfunding, all these are English words that we sometimes use in Spanish.	Und hier ein paar Beispiele: Wörter wie Podcast, App und Online-Crowdfunding sind englische Wörter, die wir manchmal im Spanischen verwenden.	und hier haben Sie einige Beispiele. Wörtern wie Podcast, App , Online, Crowdfunding, all das sind Wörtern aus dem Englischen, die wir manchmal im Spanischen verwenden.Lexikalische	, und hier sehen Sie einige Beispiele, wie zum Beispiel Podcast, App, Online, Crowdfunding – all diese sind englische Wörter, die wir manchmal im Spanischen verwenden.Lexikalische	, und hier sehen Sie einige Beispiele. Wörter wie Podcast, App, Online, Crowdfunding – all dies sind englische Wörter, die wir manchmal im Spanischen verwenden.Lexikalisches	96.454	93.617	96.454	-2.837	0.000	26	25	24	21	5	english->Englischen; lexical->lexikalische; online->Online; word->Wort; words->Wörtern	Online->Online	Online->Online		Online->Online			7
6	2022.acl-long.268	NA	48.239	56.375	8.136	Lexical borrowing is a type of linguistic borrowing um which is basically reproducing in one language patterns of other languages.	Die lexikalische Entlehnung ist eine Art der sprachlichen Entlehnung, die im Grunde genommen die Reproduktion von Mustern einer Sprache in einer anderen Sprache bedeutet.	Entlehnung ist eine Art der sprachlichen Entlehnung. Es handelt sich im Grunde darum, etwas in einer Sprache nachzuahmen,ähm, Muster anderer Sprachen.Und Entlehnung	Entlehnung ist eine Art der sprachlichen Entlehnung, die im Grunde darin besteht, in einer Sprache Muster anderer Sprachen nachzuahmen. Und	Entlehen ist eine Art des sprachlichen Entlehnens, die im Grunde darin besteht, in einer Sprache Muster anderer Sprachen nachzuahmen. Und	82.353	77.647	75.294	-4.706	-7.059	24	20	20	24	6	language->Sprache; languages->Sprachen; lexical->lexikalische; linguistic->sprachlichen; linguistics->Linguistik; retrieved->abgerufen	language->Sprache; lexical->lexikalische; linguistic->sprachlichen	language->Sprache; linguistic->sprachlichen	lexical->lexikalische	language->Sprache; linguistic->sprachlichen	lexical->lexikalische		2
7	2022.acl-long.268	NA	56.476	68.858	12.382	And borrowing and code switching have sometimes been compared and described as a continuum, code switching being ah the thing that bilinguals do where they mix two languages at the same time.	Manchmal wurde die Entlehnung mit dem Code-Switching verglichen und als ein Kontinuum beschrieben. Code-Switching wird von Zweisprachigen praktiziert, wenn sie zwei Sprachen gleichzeitig verwenden.	und Code-Switching werden manchmal im Vergleich zu und als ein Kontinuum beschrieben. Code-Switching ist das, was Zweisprachige tun, wenn sie gleichzeitig Sprachen mischen.	Entlehnung sowie Code-Switching werden manchmal miteinander verglichen und die als ein Kontinuum beschrieben. Code-Switching ist das, was Zweisprachige tun, wenn sie gleichzeitig zwei Sprachen mischen.	Entlehen und Code-Switching werden manchmal miteinander verglichen und die als ein Kontinuum beschrieben. Code-Switching ist das, was Zweisprachige tun, wenn sie gleichzeitig zwei Sprachen mischen.	82.234	94.924	93.909	12.690	11.675	25	27	27	26	3	compared->im Vergleich zu; language->Sprache; languages->Sprachen	languages->Sprachen	languages->Sprachen		languages->Sprachen			2
8	2022.acl-long.268	NA	69.121	72.513	3.392	There are however some differences between lexical borrowing and code-switching.	Es gibt jedoch einige Unterschiede zwischen lexikalischer Entlehnung und Code-Switching.	Es gibt jedoch einige Unterschiede zwischen lexikalischer Entlehnung und Code-Switching.	Es gibt jedoch einige Unterschiede zwischen lexikalischer Entlehnung und Code-Switching.	Es gibt jedoch einige Unterschiede zwischen lexikalischem Entlehen und Code-Switching.	100.000	100.000	95.455	0.000	-4.545	11	11	11	11	1	encoding->Kodierung	lexical->lexikalische	lexical->lexikalische		lexical->lexikalische			0
9	2022.acl-long.268	NA	72.553	74.655	2.102	We're going to be focusing on lexical borrowing.	Wir werden uns auf die lexikalische Entlehnung konzentrieren.	Wir werden uns auf lexikalische Entlehnung konzentrieren.	Wir werden uns auf lexikalische Entlehnung konzentrieren.	Wir werden uns auf lexikalisches Entlehen konzentrieren.	93.443	93.443	90.164	0.000	-3.279	7	7	7	8	2	encoding->Kodierung; lexical->lexikalische	lexical->lexikalische	lexical->lexikalische		lexical->lexikalische			1
