dataset	lang	lm	runtime_bank	metric_denominator	BLEU	StreamLAAL	TERM_ACC	REAL_TERM_ADOPT	TERM_FCR	TERM_CORRECT	TERM_TOTAL	source_path	status
Medicine	zh	1	raw	medicine_hardraw_fixed	33.4005	1140.0656	79.05	84.23	30.79	532	673	/mnt/gemini/data1/jiaxuanluo/medicine_hardraw_hn1024_tau078_new_v9_batch_20260524T0242/zh/dmedhard5_new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau0p78_raw_lm1_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212_ppmedicine5_hardraw/eval_results.tsv	verified
Medicine	zh	2	raw	medicine_hardraw_fixed	41.2805	1772.3604	83.36	90.52	27.51	561	673	/mnt/gemini/data1/jiaxuanluo/medicine_hardraw_hn1024_tau078_new_v9_batch_20260524T0242/zh/dmedhard5_new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau0p78_raw_lm2_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212_ppmedicine5_hardraw/eval_results.tsv	verified
Medicine	zh	3	raw	medicine_hardraw_fixed	43.0605	2320.5247	84.70	91.26	27.27	570	673	/mnt/gemini/data1/jiaxuanluo/medicine_hardraw_hn1024_tau078_new_v9_batch_20260524T0242/zh/dmedhard5_new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau0p78_raw_lm3_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212_ppmedicine5_hardraw/eval_results.tsv	verified
Medicine	zh	4	raw	medicine_hardraw_fixed	44.3591	2821.6752	85.14	92.15	25.96	573	673	/mnt/gemini/data1/jiaxuanluo/medicine_hardraw_hn1024_tau078_new_v9_batch_20260524T0242/zh/dmedhard5_new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau0p78_raw_lm4_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212_ppmedicine5_hardraw/eval_results.tsv	verified
Medicine	zh	1	gs1k	medicine_hardraw_fixed	36.3727	1292.5267	75.19	85.66	30.07	506	673	/mnt/gemini/data1/jiaxuanluo/psc_medicine_gs_reposteval_fixedraw_20260525/gs1k_lm1/eval_results.localraw.tsv	verified
Medicine	zh	2	gs1k	medicine_hardraw_fixed	42.1112	1873.9588	78.45	87.66	23.27	528	673	/mnt/gemini/data1/jiaxuanluo/psc_medicine_gs_reposteval_fixedraw_20260525/gs1k_lm2/eval_results.localraw.tsv	verified
Medicine	zh	3	gs1k	medicine_hardraw_fixed	43.4199	2317.5806	80.83	90.34	20.79	544	673	/mnt/gemini/data1/jiaxuanluo/psc_medicine_gs_reposteval_fixedraw_20260525/gs1k_lm3/eval_results.localraw.tsv	verified
Medicine	zh	4	gs1k	medicine_hardraw_fixed	44.3963	2828.5456	81.58	90.82	20.06	549	673	/mnt/gemini/data1/jiaxuanluo/psc_medicine_gs_reposteval_fixedraw_20260525/gs1k_lm4/eval_results.localraw.tsv	verified
Medicine	zh	1	gs10k	medicine_hardraw_fixed	35.9182	1221.3440	74.59	84.82	28.45	502	673	/mnt/gemini/data1/jiaxuanluo/psc_medicine_gs_reposteval_fixedraw_20260525/gs10k_lm1/eval_results.localraw.tsv	verified
Medicine	zh	2	gs10k	medicine_hardraw_fixed	42.0211	1862.1225	78.16	88.17	22.07	526	673	/mnt/gemini/data1/jiaxuanluo/psc_medicine_gs_reposteval_fixedraw_20260525/gs10k_lm2/eval_results.localraw.tsv	verified
Medicine	zh	3	gs10k	medicine_hardraw_fixed	43.3428	2335.3599	80.39	89.29	18.77	541	673	/mnt/gemini/data1/jiaxuanluo/psc_medicine_gs_reposteval_fixedraw_20260525/gs10k_lm3/eval_results.localraw.tsv	verified
Medicine	zh	4	gs10k	medicine_hardraw_fixed	44.1033	2836.7997	79.94	88.63	17.81	538	673	/mnt/gemini/data1/jiaxuanluo/psc_medicine_gs_reposteval_fixedraw_20260525/gs10k_lm4/eval_results.localraw.tsv	verified
Tagged ACL	zh	1	raw	tagged_raw_fixed	44.4102	1236.7205	85.39	89.40	13.01			/mnt/gemini/data1/jiaxuanluo/tagged_acl_same_lm_batch_v1_hn1024_tau078_raw_zh_lm1_max256_20260524T1442_tagacl_same_lm_batch_v1exact_hn1024_tau078_raw_zh_lm1_max256_taurus45/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078_same_lm_batch_v1_max256/zh/dtagacl_same_lm_batch_v1_hn1024_tau078_max256_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	verified
Tagged ACL	zh	2	raw	tagged_raw_fixed	49.6099	1861.8699	88.88	90.37	12.41			/mnt/gemini/data1/jiaxuanluo/tagged_acl_new_v9_hn1024_tau078_raw_zh_lm23_20260524T0522_tagacl_newv9_hn1024_tau078_raw_zh_lm23_aries4567/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	verified
Tagged ACL	zh	3	raw	tagged_raw_fixed	50.1545	2342.6068	89.89	91.08	8.07			/mnt/gemini/data1/jiaxuanluo/tagged_acl_new_v9_hn1024_tau078_raw_zh_lm23_20260524T0522_tagacl_newv9_hn1024_tau078_raw_zh_lm23_aries4567/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	verified
Tagged ACL	zh	4	raw	tagged_raw_fixed	50.8145	2785.5040	90.00	92.12	9.40			/mnt/gemini/data1/jiaxuanluo/tagged_acl_new_v9_hn1024_tau078_raw_zh_lm4_20260524T0555_tagacl_newv9_hn1024_tau078_raw_zh_lm4_aries45/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_lm4_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	verified
Tagged ACL	zh	1	gs1k	tagged_raw_fixed	46.9162	1320.2466	86.29	89.84	10.32			/ocean/projects/cis260009p/jluo7/InfiniSST_psc_eval/outputs/tagged_acl_new_v9_hn1024_tau078_gs_fixedraw/20260524T0520_psc_tagacl_newv9_hn1024_tau078_gs1k_gs10k_fixedraw_zh/gs1k/lm1/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_gs_fixedraw_lm1_k10_th0.78_gacl6060_tagged_gt_union_gs1000_min_norm2_backfill/eval_results.strip_term_recheck.tsv	verified
Tagged ACL	zh	2	gs1k	tagged_raw_fixed	48.7430	1926.7497	89.10	90.48	12.76			/ocean/projects/cis260009p/jluo7/InfiniSST_psc_eval/outputs/tagged_acl_new_v9_hn1024_tau078_gs_fixedraw/20260524T0520_psc_tagacl_newv9_hn1024_tau078_gs1k_gs10k_fixedraw_zh/gs1k/lm2/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_gs_fixedraw_lm2_k10_th0.78_gacl6060_tagged_gt_union_gs1000_min_norm2_backfill/eval_results.strip_term_recheck.tsv	verified
