term_type	term	languages	gain	loss	both_correct	both_wrong	net_gain_minus_loss
acronym_or_symbolic_name	KinyaBERT	de,ja,zh	21	0	2	4	21
acronym_or_symbolic_name	RGF	de,ja,zh	20	1	10	2	19
acronym_or_symbolic_name	FLR	de,ja,zh	13	0	4	1	13
acronym_or_symbolic_name	REALM	de,ja,zh	11	0	0	2	11
acronym_or_symbolic_name	BETO	de,ja,zh	6	0	2	6	6
acronym_or_symbolic_name	NLP	de,ja,zh	6	0	15	0	6
acronym_or_symbolic_name	TreeDST	de,ja,zh	6	0	0	0	6
acronym_or_symbolic_name	BIO	de,ja,zh	5	0	3	1	5
acronym_or_symbolic_name	GLUE	de,ja,zh	5	0	5	2	5
acronym_or_symbolic_name	multilingual BERT	de,ja,zh	5	0	5	0	5
acronym_or_symbolic_name	BPE	de,ja,zh	4	0	17	0	4
acronym_or_symbolic_name	BLEU	de,ja,zh	3	0	0	3	3
acronym_or_symbolic_name	CRF	de,ja,zh	3	0	30	0	3
acronym_or_symbolic_name	QUOREF	de,ja,zh	3	0	0	0	3
acronym_or_symbolic_name	VFL	de,ja,zh	3	0	3	0	3
acronym_or_symbolic_name	BiLSTM-CRF	de,ja,zh	7	5	3	3	2
acronym_or_symbolic_name	AmbigQA	de,ja,zh	2	0	1	0	2
acronym_or_symbolic_name	AQA	de,ja,zh	2	0	1	0	2
acronym_or_symbolic_name	BLEU score	de,ja,zh	2	0	0	1	2
acronym_or_symbolic_name	CONLL	de,ja,zh	2	0	1	0	2
acronym_or_symbolic_name	OOV	de,ja,zh	3	2	0	1	1
acronym_or_symbolic_name	CDA	de,ja,zh	1	0	2	0	1
acronym_or_symbolic_name	NLP task	de,ja,zh	1	0	1	1	1
acronym_or_symbolic_name	QA	de,ja,zh	1	0	2	0	1
acronym_or_symbolic_name	AI	de,ja,zh	0	0	0	3	0
acronym_or_symbolic_name	BERT	de,ja,zh	0	0	30	0	0
acronym_or_symbolic_name	ICLR	de,ja,zh	0	0	2	1	0
acronym_or_symbolic_name	LinCE	de,ja,zh	0	0	0	6	0
acronym_or_symbolic_name	PubMed	de,ja,zh	0	0	3	0	0
acronym_or_symbolic_name	SMCalFlow	de,ja,zh	0	0	0	3	0
acronym_or_symbolic_name	XLM	de,ja,zh	0	0	3	0	0
acronym_or_symbolic_name	BART	de,ja,zh	0	1	1	1	-1
acronym_or_symbolic_name	QED	de,ja,zh	0	1	8	0	-1
acronym_or_symbolic_name	BERT model	de,ja,zh	0	2	1	0	-2
multiword_expression	morphological analyzer	de,ja,zh	7	0	0	3	7
multiword_expression	pretrained language	de,ja,zh	7	0	7	2	7
multiword_expression	named entity recognition	de,ja,zh	5	0	3	3	5
multiword_expression	question generation	de,ja,zh	5	0	13	1	5
multiword_expression	question answering	de,ja,zh	4	0	0	1	4
multiword_expression	transformer encoder	de,ja,zh	4	0	2	3	4
multiword_expression	data augmentation	de,ja,zh	4	1	5	1	3
multiword_expression	byte pair encoding	de,ja,zh	3	1	0	1	2
multiword_expression	training data	de,ja,zh	3	1	10	1	2
multiword_expression	Annotated Corpus	de,ja,zh	2	0	1	0	2
multiword_expression	low resource	de,ja,zh	2	0	1	0	2
multiword_expression	machine learning	de,ja,zh	2	0	0	1	2
multiword_expression	masked language model	de,ja,zh	2	0	1	0	2
multiword_expression	positional encoding	de,ja,zh	2	0	2	1	2
multiword_expression	pre-training	de,ja,zh	2	0	3	1	2
multiword_expression	semantic role labeling	de,ja,zh	2	0	0	1	2
multiword_expression	machine translation	de,ja,zh	1	0	2	0	1
multiword_expression	morphological analysis	de,ja,zh	1	0	0	2	1
multiword_expression	reading comprehension	de,ja,zh	1	0	2	0	1
multiword_expression	language models	de,ja,zh	1	1	15	2	0
multiword_expression	Semantic Parsing	ja,zh	1	1	2	6	0
multiword_expression	language identification	de,ja,zh	0	0	6	0	0
multiword_expression	Language Model	de,ja,zh	0	0	12	0	0
multiword_expression	natural language processing	de,ja,zh	0	0	2	1	0
multiword_expression	text classification	de,ja,zh	0	0	0	3	0
multiword_expression	transfer learning	de,ja,zh	0	0	3	0	0
single_word_term	transformer	de,ja,zh	24	3	22	0	21
single_word_term	embeddings	de,ja,zh	19	0	23	5	19
single_word_term	graph	de,ja,zh	18	1	23	3	17
single_word_term	counterfactual	de,ja,zh	17	0	13	3	17
single_word_term	lexical	de,ja,zh	18	2	34	6	16
single_word_term	question	de,ja,zh	15	2	91	5	13
single_word_term	tokens	de,ja,zh	14	1	27	2	13
