dataset	method	lang	lm	BLEU	StreamLAAL	StreamLAAL_CA	TERM_ACC	TERM_CORRECT	TERM_TOTAL	source_type	source_path	event_id	wandb_run_id	status	note
acl_tagged_raw	Offline ST	zh	NA	51.3160	NA	NA	0.7551	672	890	offline_llm_parsed	/mnt/data/siqiouyang/runs/infinisst_rag/offline/acl6060/zh			offline_reference	offline full-context LLM baseline from Siqi's offline/acl6060 outputs; plotted as no-latency horizontal reference
acl_tagged_raw	Offline + GT terms	zh	NA	54.6110	NA	NA	0.9438	840	890	offline_llm_parsed	/mnt/data/siqiouyang/runs/infinisst_rag/offline/acl6060/glossary/zh			offline_reference	offline full-context LLM with oracle/GT terms from Siqi's offline/acl6060/glossary outputs; plotted as oracle-term horizontal reference
acl_tagged_raw	Offline ST	de	NA	38.6910	NA	NA	0.7230	676	935	offline_llm_parsed	/mnt/data/siqiouyang/runs/infinisst_rag/offline/acl6060/de			offline_reference	offline full-context LLM baseline from Siqi's offline/acl6060 outputs; plotted as no-latency horizontal reference
acl_tagged_raw	Offline + GT terms	de	NA	41.4850	NA	NA	0.9080	849	935	offline_llm_parsed	/mnt/data/siqiouyang/runs/infinisst_rag/offline/acl6060/glossary/de			offline_reference	offline full-context LLM with oracle/GT terms from Siqi's offline/acl6060/glossary outputs; plotted as oracle-term horizontal reference
acl_tagged_raw	Offline ST	ja	NA	35.0730	NA	NA	0.6830	642	940	offline_llm_parsed	/mnt/data/siqiouyang/runs/infinisst_rag/offline/acl6060/ja			offline_reference	offline full-context LLM baseline from Siqi's offline/acl6060 outputs; plotted as no-latency horizontal reference
acl_tagged_raw	Offline + GT terms	ja	NA	38.6200	NA	NA	0.9521	895	940	offline_llm_parsed	/mnt/data/siqiouyang/runs/infinisst_rag/offline/acl6060/glossary/ja			offline_reference	offline full-context LLM with oracle/GT terms from Siqi's offline/acl6060/glossary outputs; plotted as oracle-term horizontal reference
acl_tagged_raw	InfiniSST	zh	1	40.6663	1181.1470	1503.3985	0.7431	NA	NA	user_supplied_reusable	user_prompt_2026-05-24			baseline_reference	ACL tagged raw baseline supplied by user
acl_tagged_raw	InfiniSST	zh	2	45.8268	1765.7196	2124.4651	0.7655	NA	NA	user_supplied_reusable	user_prompt_2026-05-24			baseline_reference	ACL tagged raw baseline supplied by user
acl_tagged_raw	InfiniSST	zh	3	46.7119	2232.6733	2679.6834	0.7675	NA	NA	user_supplied_reusable	user_prompt_2026-05-24			baseline_reference	ACL tagged raw baseline supplied by user
acl_tagged_raw	InfiniSST	zh	4	47.3897	2616.3493	3187.8067	0.7754	NA	NA	user_supplied_reusable	user_prompt_2026-05-24			baseline_reference	ACL tagged raw baseline supplied by user
acl_tagged_raw	InfiniSST	ja	1	24.4002	1613.0120	2058.9259	0.6245	587	940	verified_acl6060_baseline_posteval	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_acl6060_de_ja_baseline_posteval/ja_lm1/eval_results.main.tsv	20260525T2110__analysis__acl_tagged_de_ja_infinisst_baseline_refresh		verified	new ACL6060 tagged raw InfiniSST baseline; BLEU/StreamLAAL/TERM from post-eval of acl6060_de_ja_results instances.log with tagged raw glossary
acl_tagged_raw	InfiniSST	ja	2	27.7202	2291.1649	2779.2009	0.6596	620	940	verified_acl6060_baseline_posteval	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_acl6060_de_ja_baseline_posteval/ja_lm2/eval_results.main.tsv	20260525T2110__analysis__acl_tagged_de_ja_infinisst_baseline_refresh		verified	new ACL6060 tagged raw InfiniSST baseline; BLEU/StreamLAAL/TERM from post-eval of acl6060_de_ja_results instances.log with tagged raw glossary
acl_tagged_raw	InfiniSST	ja	3	28.9684	2912.9811	3329.6177	0.6617	622	940	verified_acl6060_baseline_posteval	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_acl6060_de_ja_baseline_posteval/ja_lm3/eval_results.main.tsv	20260525T2110__analysis__acl_tagged_de_ja_infinisst_baseline_refresh		verified	new ACL6060 tagged raw InfiniSST baseline; BLEU/StreamLAAL/TERM from post-eval of acl6060_de_ja_results instances.log with tagged raw glossary
