dataset	lang	lm	RASST_BLEU	InfiniSST_BLEU	delta_BLEU_vs_InfiniSST	RASST_MASKED_TERMS_BLEU	InfiniSST_MASKED_TERMS_BLEU	delta_MASKED_TERMS_BLEU_vs_InfiniSST	masked_delta_minus_original_delta	status	note
acl_tagged_raw	de	1	26.4180	27.1215	-0.7035	24.9360	25.6574	-0.7214	-0.0179	ok	
acl_tagged_raw	de	2	31.5758	30.2516	+1.3242	29.6852	28.9758	+0.7094	-0.6148	ok	
acl_tagged_raw	de	3	32.5049	31.4666	+1.0383	30.6110	30.4183	+0.1927	-0.8456	ok	
acl_tagged_raw	de	4	34.2450	33.1867	+1.0583	32.4669	31.9432	+0.5237	-0.5346	ok	
acl_tagged_raw	ja	1	22.6615	24.4002	-1.7387	19.4429	21.7166	-2.2737	-0.5350	ok	
acl_tagged_raw	ja	2	29.8887	27.7202	+2.1685	26.0339	25.0201	+1.0138	-1.1547	ok	
acl_tagged_raw	ja	3	32.5319	28.9684	+3.5635	27.8079	25.5043	+2.3036	-1.2599	ok	
acl_tagged_raw	ja	4	33.3522	30.7506	+2.6016	28.6547	27.2414	+1.4133	-1.1883	ok	
acl_tagged_raw	zh	1	43.8652	40.6663	+3.1989	37.7378	35.0392	+2.6986	-0.5003	ok	
acl_tagged_raw	zh	2	48.7921	45.8268	+2.9653	41.8895	40.7155	+1.1740	-1.7913	ok	
acl_tagged_raw	zh	3	50.8150	46.7119	+4.1031	44.0373	41.3048	+2.7325	-1.3706	ok	
acl_tagged_raw	zh	4	50.7421	47.3897	+3.3524	43.9574	41.8212	+2.1362	-1.2162	ok	
medicine_hardraw	zh	1	32.1943	27.9415	+4.2528	30.5931	26.8063	+3.7868	-0.4660	ok	
medicine_hardraw	zh	2	40.7642	37.8511	+2.9131	39.0263	35.9263	+3.1000	+0.1869	ok	
medicine_hardraw	zh	3	42.4881	40.4082	+2.0799	40.6300	38.3483	+2.2817	+0.2018	ok	
medicine_hardraw	zh	4	44.7022	41.4557	+3.2465	41.8591	39.2708	+2.5883	-0.6582	ok	
medicine_hardraw	de	1	22.6187	22.8060	-0.1873	22.3654	22.8698	-0.5044	-0.3171	ok	
medicine_hardraw	de	2	26.7696	26.0778	+0.6918	26.3115	26.1085	+0.2030	-0.4888	ok	
medicine_hardraw	de	3	27.3676	26.7200	+0.6476	26.8689	26.7145	+0.1544	-0.4932	ok	
medicine_hardraw	de	4	27.9246	28.1365	-0.2119	27.4331	28.1049	-0.6718	-0.4599	ok	
medicine_hardraw	ja	1	19.3213	19.8868	-0.5655	18.1652	18.9874	-0.8222	-0.2567	ok	
medicine_hardraw	ja	2	25.1412	24.6641	+0.4771	23.6664	23.5100	+0.1564	-0.3207	ok	
medicine_hardraw	ja	3	27.3388	25.1361	+2.2027	25.7439	23.8125	+1.9314	-0.2713	ok	
medicine_hardraw	ja	4	29.9012	26.6835	+3.2177	28.2598	25.3950	+2.8648	-0.3529	ok	
