run_key	lm	paper_id	segment_idx	start_sec	end_sec	duration_sec	term_map_count	score_min	score_mean	score_max	marginal_078_080	current_window_refs	stale_lookback_refs	future_refs	gold_refs_by_sentence_overlap	source_supported_refs_by_sentence_overlap	noise_refs_by_sentence_overlap	term_map
newv9_none_block	1	2022.acl-long.268	0	0.000	0.960	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	1	0.960	1.920	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	2	1.920	2.880	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	3	2.880	3.840	0.960	1	0.7935	0.7935	0.7935	1	1	0	0	0	0	1	NLP->NLP@0.793
newv9_none_block	1	2022.acl-long.268	4	3.840	4.800	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	5	4.800	5.760	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	6	5.760	6.720	0.960	1	0.9223	0.9223	0.9223	0	1	0	0	1	1	0	Detecting->Erkennung@0.922
newv9_none_block	1	2022.acl-long.268	7	6.720	7.680	0.960	1	0.9376	0.9376	0.9376	0	1	0	0	1	1	0	Detecting->Erkennung@0.938
newv9_none_block	1	2022.acl-long.268	8	7.680	8.640	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	9	8.640	9.600	0.960	1	0.8383	0.8383	0.8383	0	1	0	0	1	1	0	annotated->annotiert@0.838
newv9_none_block	1	2022.acl-long.268	10	9.600	10.560	0.960	3	0.8489	0.8636	0.8907	0	3	0	0	3	3	0	corpus->Korpus@0.891; Annotated Corpus->annotierter Korpus@0.851; annotated->annotiert@0.849
newv9_none_block	1	2022.acl-long.268	11	10.560	11.520	0.960	5	0.7843	0.8211	0.9389	3	5	0	0	3	3	2	Modeling->Modellierung@0.939; corpus->Korpus@0.804; approach->Ansatz@0.792; Annotated Corpus->annotierter Korpus@0.787; propose->vorzuschlagen@0.784
newv9_none_block	1	2022.acl-long.268	12	11.520	12.480	0.960	1	0.9367	0.9367	0.9367	0	1	0	0	1	1	0	Modeling->Modellierung@0.937
newv9_none_block	1	2022.acl-long.268	13	12.480	13.440	0.960	1	0.8648	0.8648	0.8648	0	1	0	0	0	0	1	Modeling->Modellierung@0.865
newv9_none_block	1	2022.acl-long.268	14	13.440	14.400	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	15	14.400	15.360	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	16	15.360	16.320	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	17	16.320	17.280	0.960	1	0.8482	0.8482	0.8482	0	1	0	0	1	1	0	lexical->lexikalische@0.848
newv9_none_block	1	2022.acl-long.268	18	17.280	18.240	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	19	18.240	19.200	0.960	2	0.9047	0.9362	0.9677	0	2	0	0	1	1	1	task->Aufgabe@0.968; tasks->Aufgaben@0.905
newv9_none_block	1	2022.acl-long.268	20	19.200	20.160	0.960	3	0.9005	0.9247	0.9704	0	3	0	0	1	1	2	task->Aufgabe@0.970; tasks->Aufgaben@0.903; propose->vorzuschlagen@0.900
