dataset	method	lang	lm	BLEU	MASKED_TERMS_BLEU	DELTA_MASKED_MINUS_BLEU	TERM_ACC	TERM_FCR	FALSE_COPY	NEG_TOTAL	FALSE_COPY_TERMS	MASKED_TERMS_HYP_REMOVED	MASKED_TERMS_REF_REMOVED	MASKED_TERMS_TYPES	instances_log	source_path	status	note
acl_tagged_raw	InfiniSST	zh	1	40.6663	35.0392	-5.6271	0.7431	N/A	N/A	N/A	N/A	1331	1389	191	/mnt/taurus/data2/jiaxuanluo/RASST/docs/results/main_result_global_cache30_30_20_20/artifacts/acl_tagged_raw_infinisst_zh/lm1/instances.log	user_prompt_2026-05-24	ok	
acl_tagged_raw	InfiniSST	zh	2	45.8268	40.7155	-5.1113	0.7655	N/A	N/A	N/A	N/A	1322	1389	191	/mnt/taurus/data2/jiaxuanluo/RASST/docs/results/main_result_global_cache30_30_20_20/artifacts/acl_tagged_raw_infinisst_zh/lm2/instances.log	user_prompt_2026-05-24	ok	
acl_tagged_raw	InfiniSST	zh	3	46.7119	41.3048	-5.4071	0.7675	N/A	N/A	N/A	N/A	1328	1389	191	/mnt/taurus/data2/jiaxuanluo/RASST/docs/results/main_result_global_cache30_30_20_20/artifacts/acl_tagged_raw_infinisst_zh/lm3/instances.log	user_prompt_2026-05-24	ok	
acl_tagged_raw	InfiniSST	zh	4	47.3897	41.8212	-5.5685	0.7754	N/A	N/A	N/A	N/A	1293	1389	191	/mnt/taurus/data2/jiaxuanluo/RASST/docs/results/main_result_global_cache30_30_20_20/artifacts/acl_tagged_raw_infinisst_zh/lm4/instances.log	user_prompt_2026-05-24	ok	
acl_tagged_raw	InfiniSST	ja	1	24.4002	21.7166	-2.6836	0.6245	1.000000	5	5	286	1285	1347	201	/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/acl6060_de_ja_results/ja/seg960/instances.log	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_acl6060_de_ja_baseline_posteval/ja_lm1/eval_results.main.tsv	ok	
acl_tagged_raw	InfiniSST	ja	2	27.7202	25.0201	-2.7001	0.6596	1.000000	5	5	288	1268	1347	201	/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/acl6060_de_ja_results/ja/seg1920/instances.log	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_acl6060_de_ja_baseline_posteval/ja_lm2/eval_results.main.tsv	ok	
acl_tagged_raw	InfiniSST	ja	3	28.9684	25.5043	-3.4641	0.6617	1.000000	5	5	288	1207	1347	201	/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/acl6060_de_ja_results/ja/seg2880/instances.log	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_acl6060_de_ja_baseline_posteval/ja_lm3/eval_results.main.tsv	ok	
acl_tagged_raw	InfiniSST	ja	4	30.7506	27.2414	-3.5092	0.6830	1.000000	5	5	289	1228	1347	201	/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/acl6060_de_ja_results/ja/seg3840/instances.log	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_acl6060_de_ja_baseline_posteval/ja_lm4/eval_results.main.tsv	ok	
acl_tagged_raw	InfiniSST	de	1	27.1215	25.6574	-1.4641	0.6075	1.000000	5	5	264	662	957	230	/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/acl6060_de_ja_results/de/seg960/instances.log	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_acl6060_de_ja_baseline_posteval/de_lm1/eval_results.main.tsv	ok	
acl_tagged_raw	InfiniSST	de	2	30.2516	28.9758	-1.2758	0.6759	1.000000	5	5	274	683	957	230	/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/acl6060_de_ja_results/de/seg1920/instances.log	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_acl6060_de_ja_baseline_posteval/de_lm2/eval_results.main.tsv	ok	
