dataset	method	lang	lm	BLEU	StreamLAAL	StreamLAAL_CA	TERM_ACC	TERM_CORRECT	TERM_TOTAL	source_type	source_path	event_id	wandb_run_id	status	note
acl_tagged_raw	RASST	de	1	26.4180	1026.3858	1532.6696	0.8107	758	935	verified_global_cache30_30_20_20_reused_cache30_eval_results	/mnt/data1/jiaxuanluo/tagged_acl_de_lm3_serial_promptfix_cache30_audioauto_max40lm_20260526T003437_tagged_acl_de_lm1_serial_promptfix_cache30_audioauto_max40lm_taurus/de/dtagacl_de_lm1_serial_promptfix_cache30_audioauto_max40lm_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	20260526T003437__simuleval__tagged_acl_de_lm1_serial_promptfix_cache30_audioauto_max40lm_taurus		verified	global cache policy: lm1,lm2=30/30; lm3,lm4=20/20; given_chunks prompt; k10 tau0.78; empty maps omitted; reused existing verified ACL-DE lm1 cache30/30 row because it matches the global policy.
acl_tagged_raw	RASST	de	2	31.5758	1666.9229	2414.3860	0.8299	776	935	verified_global_cache30_30_20_20_reused_cache30_eval_results	/mnt/data1/jiaxuanluo/main_result_rasst_serial_de_ja_cache30_max40lm_20260525T215831_main_result_rasst_serial_de_ja_cache30_max40lm_taurus_retry1/acl_tagged_raw/de_cap16_denoise_ttag_hn1024_tau078_omit_serial_chunks30_max40lm/de/dmainres_acl_serial_de_cap16denoise_ttag_hn1024_tau078_omit_chunks30_max40lm_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	20260525T215343__simuleval__main_result_rasst_serial_de_ja_acl_then_medicine_cache30_max40lm_taurus		verified	global cache policy: lm1,lm2=30/30; lm3,lm4=20/20; given_chunks prompt; k10 tau0.78; empty maps omitted; reused existing verified ACL-DE lm2 cache30/30 row because it matches the global policy.
acl_tagged_raw	RASST	de	3	32.5049	2253.8181	3169.7972	0.8481	793	935	verified_global_cache30_30_20_20_acl_de_cache20_eval_results	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/acl_de_lm3_cache_sweep_20260528T085204Z/cache20_20/cells/acl_tagged_raw__de__lm3/de/drasst_main_result_acl_tagged_raw_de_lm3_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	acl_de_lm3_cache_sweep_20260528T085204Z/cache20_20		verified	global cache policy: lm1,lm2=30/30; lm3,lm4=20/20; given_chunks prompt; k10 tau0.78; empty maps omitted; ACL-DE lm3 verified cache20/20 sweep row.
acl_tagged_raw	RASST	de	4	34.2450	2756.8611	3913.4200	0.8439	789	935	verified_global_cache30_30_20_20_acl_de_cache20_eval_results	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/acl_de_lm4_cache20_probe_20260528T101802Z/cells/acl_tagged_raw__de__lm4/de/drasst_main_result_acl_tagged_raw_de_lm4_lm4_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	acl_de_lm4_cache20_probe_20260528T101802Z		verified	global cache policy: lm1,lm2=30/30; lm3,lm4=20/20; given_chunks prompt; k10 tau0.78; empty maps omitted; ACL-DE lm4 verified cache20/20 probe row.
acl_tagged_raw	RASST	ja	1	22.6615	1477.7077	2089.3117	0.8170	768	940	verified_global_cache30_30_20_20_followup_eval_results	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja/cells/acl_tagged_raw__ja__lm1/ja/drasst_main_result_acl_tagged_raw_ja_lm1_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja		verified	global cache policy: lm1,lm2=30/30; lm3,lm4=20/20; given_chunks prompt; k10 tau0.78; empty maps omitted; ACL-JA follow-up array row.
acl_tagged_raw	RASST	ja	2	29.8887	2231.1077	2973.2934	0.8457	795	940	verified_global_cache30_30_20_20_followup_eval_results	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja/cells/acl_tagged_raw__ja__lm2/ja/drasst_main_result_acl_tagged_raw_ja_lm2_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja		verified	global cache policy: lm1,lm2=30/30; lm3,lm4=20/20; given_chunks prompt; k10 tau0.78; empty maps omitted; ACL-JA follow-up array row.
acl_tagged_raw	RASST	ja	3	32.5319	2777.5509	3742.8808	0.8755	823	940	verified_global_cache30_30_20_20_followup_eval_results	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja/cells/acl_tagged_raw__ja__lm3/ja/drasst_main_result_acl_tagged_raw_ja_lm3_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja		verified	global cache policy: lm1,lm2=30/30; lm3,lm4=20/20; given_chunks prompt; k10 tau0.78; empty maps omitted; ACL-JA follow-up array row.
acl_tagged_raw	RASST	ja	4	33.3522	3212.2704	4377.0081	0.8691	817	940	verified_global_cache30_30_20_20_followup_eval_results	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja/cells/acl_tagged_raw__ja__lm4/ja/drasst_main_result_acl_tagged_raw_ja_lm4_lm4_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja		verified	global cache policy: lm1,lm2=30/30; lm3,lm4=20/20; given_chunks prompt; k10 tau0.78; empty maps omitted; ACL-JA follow-up array row.
acl_tagged_raw	RASST	zh	1	43.8652	1175.7609	1960.0481	0.8865	789	890	verified_global_cache30_30_20_20_zh_eval_results	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8_20260528T114706Z/zh_new_model_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8/cells/acl_tagged_raw__zh__lm1/zh/drasst_main_result_acl_tagged_raw_zh_lm1_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	zh_cap16_denoise_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8_20260528T114706Z/zh_new_model_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8		verified	global cache policy: lm1,lm2=30/30; lm3,lm4=20/20; given_chunks prompt; k10 tau0.78; empty maps omitted; zh cap16-denoise serial rerun from 20260528_zh_new_model_cache30_30_20_20_main_result.tsv
acl_tagged_raw	RASST	zh	2	48.7921	1821.5284	2802.9903	0.8899	792	890	verified_global_cache30_30_20_20_zh_eval_results	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8_20260528T114706Z/zh_new_model_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8/cells/acl_tagged_raw__zh__lm2/zh/drasst_main_result_acl_tagged_raw_zh_lm2_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	zh_cap16_denoise_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8_20260528T114706Z/zh_new_model_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8		verified	global cache policy: lm1,lm2=30/30; lm3,lm4=20/20; given_chunks prompt; k10 tau0.78; empty maps omitted; zh cap16-denoise serial rerun from 20260528_zh_new_model_cache30_30_20_20_main_result.tsv
