method	lang	lm	BLEU	StreamLAAL	TERM_ACC	source_type	source_path	source_snapshot	status	note
Offline ST	zh	NA	51.3160	NA	0.7551	offline_llm_parsed	/mnt/data/siqiouyang/runs/infinisst_rag/offline/acl6060/zh	figure_01_main_result_tagged/data.tsv	offline_reference	offline full-context LLM baseline from Siqi's offline/acl6060 outputs; plotted as no-latency horizontal reference
Oracle term upper bound	zh	NA	54.6110	NA	0.9438	offline_llm_parsed	/mnt/data/siqiouyang/runs/infinisst_rag/offline/acl6060/glossary/zh	figure_01_main_result_tagged/data.tsv	offline_reference	Offline full-context LLM with oracle/GT terms from the current main-result data.
InfiniSST	zh	1	40.6663	1181.1470	0.7431	user_supplied_reusable	user_prompt_2026-05-24	figure_01_main_result_tagged/data.tsv	baseline_reference	ACL tagged raw baseline supplied by user
InfiniSST	zh	2	45.8268	1765.7196	0.7655	user_supplied_reusable	user_prompt_2026-05-24	figure_01_main_result_tagged/data.tsv	baseline_reference	ACL tagged raw baseline supplied by user
InfiniSST	zh	3	46.7119	2232.6733	0.7675	user_supplied_reusable	user_prompt_2026-05-24	figure_01_main_result_tagged/data.tsv	baseline_reference	ACL tagged raw baseline supplied by user
InfiniSST	zh	4	47.3897	2616.3493	0.7754	user_supplied_reusable	user_prompt_2026-05-24	figure_01_main_result_tagged/data.tsv	baseline_reference	ACL tagged raw baseline supplied by user
RASST (tau=0.78)	zh	1	44.4102	1236.7205	0.8539	verified_eval_results	/mnt/gemini/data1/jiaxuanluo/tagged_acl_same_lm_batch_v1_hn1024_tau078_raw_zh_lm1_max256_20260524T1442_tagacl_same_lm_batch_v1exact_hn1024_tau078_raw_zh_lm1_max256_taurus45/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078_same_lm_batch_v1_max256/zh/dtagacl_same_lm_batch_v1_hn1024_tau078_max256_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	figure_01_main_result_tagged/data.tsv	verified	Current main RASST readout with HN1024 retriever threshold tau=0.78.
RASST (tau=0.78)	zh	2	49.6099	1861.8699	0.8888	verified_eval_results	/mnt/gemini/data1/jiaxuanluo/tagged_acl_new_v9_hn1024_tau078_raw_zh_lm23_20260524T0522_tagacl_newv9_hn1024_tau078_raw_zh_lm23_aries4567/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	figure_01_main_result_tagged/data.tsv	verified	Current main RASST readout with HN1024 retriever threshold tau=0.78.
RASST (tau=0.78)	zh	3	50.1545	2342.6068	0.8989	verified_eval_results	/mnt/gemini/data1/jiaxuanluo/tagged_acl_new_v9_hn1024_tau078_raw_zh_lm23_20260524T0522_tagacl_newv9_hn1024_tau078_raw_zh_lm23_aries4567/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	figure_01_main_result_tagged/data.tsv	verified	Current main RASST readout with HN1024 retriever threshold tau=0.78.
RASST (tau=0.78)	zh	4	50.8145	2785.5040	0.9000	verified_eval_results	/mnt/gemini/data1/jiaxuanluo/tagged_acl_new_v9_hn1024_tau078_raw_zh_lm4_20260524T0555_tagacl_newv9_hn1024_tau078_raw_zh_lm4_aries45/new_v9_termtag_delay_oldnewv3_r32a64_hn1024_tau078/zh/dtagacl_new_v9_hn1024_tau078_lm4_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	figure_01_main_result_tagged/data.tsv	verified	Current main RASST readout with HN1024 retriever threshold tau=0.78.
