method	lang	lm	BLEU	StreamLAAL	TERM_ACC	source_type	source_path	source_snapshot	status	note
Offline ST	ja	NA	32.9328	NA	0.6624	legacy_plot_data	documents/code/simuleval/reports/20260521_tagged_acl_main_results_fourline_llmgen_rasst_data.tsv	main_result_tagged.pdf	legacy_reference	Old En-Ja offline ST horizontal reference from main_result_tagged.pdf source rows.
Oracle term upper bound	ja	NA	38.6200	NA	0.9521	current_plot_data	documents/code/train/term_train/reports/EMNLP_26_InfiniSST_RAG_src/plot/figure_01_main_result_tagged/data.tsv	new_main_result_tagged.pdf	offline_reference	Offline full-context LLM with oracle/GT terms; plotted as the blue upper-bound reference.
InfiniSST	ja	1	24.4002	1613.0120	0.6245	verified_acl6060_baseline_posteval	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_acl6060_de_ja_baseline_posteval/ja_lm1/eval_results.main.tsv	figure_01_main_result_tagged/data.tsv	verified	Current En-Ja InfiniSST line from the main-result tagged ACL source rows.
InfiniSST	ja	2	27.7202	2291.1649	0.6596	verified_acl6060_baseline_posteval	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_acl6060_de_ja_baseline_posteval/ja_lm2/eval_results.main.tsv	figure_01_main_result_tagged/data.tsv	verified	Current En-Ja InfiniSST line from the main-result tagged ACL source rows.
InfiniSST	ja	3	28.9684	2912.9811	0.6617	verified_acl6060_baseline_posteval	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_acl6060_de_ja_baseline_posteval/ja_lm3/eval_results.main.tsv	figure_01_main_result_tagged/data.tsv	verified	Current En-Ja InfiniSST line from the main-result tagged ACL source rows.
InfiniSST	ja	4	30.7506	3400.4659	0.6830	verified_acl6060_baseline_posteval	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_acl6060_de_ja_baseline_posteval/ja_lm4/eval_results.main.tsv	figure_01_main_result_tagged/data.tsv	verified	Current En-Ja InfiniSST line from the main-result tagged ACL source rows.
SLLM+RAG (no TM-SFT)	ja	1	14.4970	1471.1555	0.8543	legacy_plot_data	documents/code/simuleval/reports/20260521_tagged_acl_main_results_fourline_llmgen_rasst_data.tsv	main_result_tagged.pdf	legacy_reference	Old En-Ja current SLLM+RAG no-term-map-SFT line from main_result_tagged.pdf source rows.
SLLM+RAG (no TM-SFT)	ja	2	26.0790	1827.0041	0.8457	legacy_plot_data	documents/code/simuleval/reports/20260521_tagged_acl_main_results_fourline_llmgen_rasst_data.tsv	main_result_tagged.pdf	legacy_reference	Old En-Ja current SLLM+RAG no-term-map-SFT line from main_result_tagged.pdf source rows.
SLLM+RAG (no TM-SFT)	ja	3	29.4410	2423.1695	0.8500	legacy_plot_data	documents/code/simuleval/reports/20260521_tagged_acl_main_results_fourline_llmgen_rasst_data.tsv	main_result_tagged.pdf	legacy_reference	Old En-Ja current SLLM+RAG no-term-map-SFT line from main_result_tagged.pdf source rows.
SLLM+RAG (no TM-SFT)	ja	4	30.1374	2835.5626	0.8564	legacy_plot_data	documents/code/simuleval/reports/20260521_tagged_acl_main_results_fourline_llmgen_rasst_data.tsv	main_result_tagged.pdf	legacy_reference	Old En-Ja current SLLM+RAG no-term-map-SFT line from main_result_tagged.pdf source rows.
RASST (LLM-generated TM SFT)	ja	1	18.5590	1229.2201	0.8096	legacy_plot_data	documents/code/simuleval/reports/20260521_tagged_acl_main_results_fourline_llmgen_rasst_data.tsv	main_result_tagged.pdf	legacy_reference	Old En-Ja RASST line renamed per ablation: LLM-generated term-map SFT.
RASST (LLM-generated TM SFT)	ja	2	28.7373	2074.6826	0.8191	legacy_plot_data	documents/code/simuleval/reports/20260521_tagged_acl_main_results_fourline_llmgen_rasst_data.tsv	main_result_tagged.pdf	legacy_reference	Old En-Ja RASST line renamed per ablation: LLM-generated term-map SFT.
RASST (LLM-generated TM SFT)	ja	3	31.5598	2645.8325	0.8521	legacy_plot_data	documents/code/simuleval/reports/20260521_tagged_acl_main_results_fourline_llmgen_rasst_data.tsv	main_result_tagged.pdf	legacy_reference	Old En-Ja RASST line renamed per ablation: LLM-generated term-map SFT.
RASST (LLM-generated TM SFT)	ja	4	33.0907	3123.9854	0.8585	legacy_plot_data	documents/code/simuleval/reports/20260521_tagged_acl_main_results_fourline_llmgen_rasst_data.tsv	main_result_tagged.pdf	legacy_reference	Old En-Ja RASST line renamed per ablation: LLM-generated term-map SFT.
RASST	ja	1	23.9284	1560.9685	0.8149	serial_eval_results	/mnt/data1/jiaxuanluo/tagged_acl_ja_serial_promptfix_cache30_vllmaudio128_max40lm_20260526T014004_tagged_acl_ja_lm1_serial_promptfix_cache30_vllmaudio128_max40lm_taurus/ja/dtagacl_ja_serial_promptfix_cache30_vllmaudio128_max40lm_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	figure_01_main_result_tagged/data.tsv	verified	Current main En-Ja RASST result from the tagged ACL source rows.
RASST	ja	2	31.2962	2200.9376	0.8628	serial_eval_results	/mnt/data1/jiaxuanluo/tagged_acl_ja_serial_promptfix_cache30_vllmaudio128_max40lm_20260526T014004_tagged_acl_ja_lm2_serial_promptfix_cache30_vllmaudio128_max40lm_taurus/ja/dtagacl_ja_serial_promptfix_cache30_vllmaudio128_max40lm_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	figure_01_main_result_tagged/data.tsv	verified	Current main En-Ja RASST result from the tagged ACL source rows.
RASST	ja	3	33.0112	2764.3157	0.8543	serial_eval_results	/mnt/data1/jiaxuanluo/tagged_acl_ja_serial_promptfix_cache30_vllmaudio128_max40lm_20260526T014004_tagged_acl_ja_lm3_serial_promptfix_cache30_vllmaudio128_max40lm_taurus/ja/dtagacl_ja_serial_promptfix_cache30_vllmaudio128_max40lm_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	figure_01_main_result_tagged/data.tsv	verified	Current main En-Ja RASST result from the tagged ACL source rows.
RASST	ja	4	33.5889	3204.9831	0.8734	serial_eval_results	/mnt/data1/jiaxuanluo/tagged_acl_ja_serial_promptfix_cache30_vllmaudio128_max40lm_20260526T014004_tagged_acl_ja_lm4_serial_promptfix_cache30_vllmaudio128_max40lm_taurus/ja/dtagacl_ja_serial_promptfix_cache30_vllmaudio128_max40lm_lm4_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	figure_01_main_result_tagged/data.tsv	verified	Current main En-Ja RASST result from the tagged ACL source rows.
