dataset	lang	lm	BLEU	InfiniSST_BLEU	delta_BLEU_vs_InfiniSST	paper_RASST_BLEU	delta_BLEU_vs_paper_RASST	TERM_ACC	InfiniSST_TERM_ACC	delta_TERM_ACC_vs_InfiniSST	paper_RASST_TERM_ACC	delta_TERM_ACC_vs_paper_RASST	source_path
acl_tagged_raw	de	1	26.4180	27.1215	-0.7035	26.4180	+0.0000	0.8107	0.6075	+0.2032	0.8107	+0.0000	/mnt/data1/jiaxuanluo/tagged_acl_de_lm3_serial_promptfix_cache30_audioauto_max40lm_20260526T003437_tagged_acl_de_lm1_serial_promptfix_cache30_audioauto_max40lm_taurus/de/dtagacl_de_lm1_serial_promptfix_cache30_audioauto_max40lm_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv
acl_tagged_raw	de	2	31.5758	30.2516	+1.3242	31.5758	+0.0000	0.8299	0.6759	+0.1540	0.8299	+0.0000	/mnt/data1/jiaxuanluo/main_result_rasst_serial_de_ja_cache30_max40lm_20260525T215831_main_result_rasst_serial_de_ja_cache30_max40lm_taurus_retry1/acl_tagged_raw/de_cap16_denoise_ttag_hn1024_tau078_omit_serial_chunks30_max40lm/de/dmainres_acl_serial_de_cap16denoise_ttag_hn1024_tau078_omit_chunks30_max40lm_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv
acl_tagged_raw	de	3	32.5049	31.4666	+1.0383	32.7061	-0.2012	0.8481	0.6513	+0.1968	0.8481	+0.0000	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/acl_de_lm3_cache_sweep_20260528T085204Z/cache20_20/cells/acl_tagged_raw__de__lm3/de/drasst_main_result_acl_tagged_raw_de_lm3_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv
acl_tagged_raw	de	4	34.2450	33.1867	+1.0583	34.7098	-0.4648	0.8439	0.6684	+0.1755	0.8481	-0.0042	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/acl_de_lm4_cache20_probe_20260528T101802Z/cells/acl_tagged_raw__de__lm4/de/drasst_main_result_acl_tagged_raw_de_lm4_lm4_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv
acl_tagged_raw	ja	1	22.6615	24.4002	-1.7387	23.9284	-1.2669	0.8170	0.6245	+0.1925	0.8149	+0.0021	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja/cells/acl_tagged_raw__ja__lm1/ja/drasst_main_result_acl_tagged_raw_ja_lm1_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv
acl_tagged_raw	ja	2	29.8887	27.7202	+2.1685	31.2962	-1.4075	0.8457	0.6596	+0.1861	0.8628	-0.0171	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja/cells/acl_tagged_raw__ja__lm2/ja/drasst_main_result_acl_tagged_raw_ja_lm2_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv
acl_tagged_raw	ja	3	32.5319	28.9684	+3.5635	33.0112	-0.4793	0.8755	0.6617	+0.2138	0.8543	+0.0212	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja/cells/acl_tagged_raw__ja__lm3/ja/drasst_main_result_acl_tagged_raw_ja_lm3_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv
acl_tagged_raw	ja	4	33.3522	30.7506	+2.6016	33.5889	-0.2367	0.8691	0.6830	+0.1861	0.8734	-0.0043	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja/cells/acl_tagged_raw__ja__lm4/ja/drasst_main_result_acl_tagged_raw_ja_lm4_lm4_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv
acl_tagged_raw	zh	1	43.8652	40.6663	+3.1989	44.4102	-0.5450	0.8865	0.7431	+0.1434	0.8539	+0.0326	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8_20260528T114706Z/zh_new_model_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8/cells/acl_tagged_raw__zh__lm1/zh/drasst_main_result_acl_tagged_raw_zh_lm1_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv
acl_tagged_raw	zh	2	48.7921	45.8268	+2.9653	49.6099	-0.8178	0.8899	0.7655	+0.1244	0.8888	+0.0011	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8_20260528T114706Z/zh_new_model_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8/cells/acl_tagged_raw__zh__lm2/zh/drasst_main_result_acl_tagged_raw_zh_lm2_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv
