run_key	lm	sentence_index	paper_id	speaker_id	start_sec	end_sec	source	reference	hypothesis	sentence_chrf	term_map_count	gold_term_count	gold_retrieved_count	source_supported_retrieved_count	noise_retrieved_count	noise_false_copied	term_map
newv9_none_block	1	0	2022.acl-long.268	NA	2.445	11.605	Hi, this is Elena and I'm going to be presenting our work, Detecting Unassimilated Borrowings in Spanish: An Annotated Corpus and Approaches to Modeling.	Hallo, hier ist Elena und ich stelle nun unsere Arbeit vor: Die Erkennung nicht-assimilierter Entlehnungen im Spanischen: Ein annotierter Korpus und Ansätze zur Modellierung.	Gut. Hallo , hier spricht Elena, und ich werde unsere Arbeit zur Erkennung nicht assimilierter Entlehnungen im Spanischen und den annotierten Korpus sowie die Methode zur Modellierung	92.529	8	5	5	5	3		NLP->NLP@0.793; Detecting->Erkennung@0.938; annotated->annotiert@0.849; corpus->Korpus@0.891; Annotated Corpus->annotierter Korpus@0.851; Modeling->Modellierung@0.939; approach->Ansatz@0.792; propose->vorzuschlagen@0.784
newv9_none_block	1	1	2022.acl-long.268	NA	14.784	24.838	So we're going to be covering what lexical borrowing is, the task that we proposed, the dataset that we have released and some models that we explored.	Wir werden uns also damit beschäftigen, was die lexikalische Entlehnung ist, die von uns vorgeschlagene Aufgabe, den veröffentlichten Datensatz und einige untersuchte Modelle.	vorstellen. Also werden wir uns mit lexikalische Entlehnungen beschäftigen, der Aufgabe, die wir vorgeschlagen haben, dem Datensatz, den wir veröffentlicht haben, und einigen Modellen, die wir untersucht	97.143	8	4	4	4	4		lexical->lexikalische@0.848; task->Aufgabe@0.970; tasks->Aufgaben@0.905; propose->vorzuschlagen@0.900; dataset->Datensatz@0.961; datasets->Datensätzen@0.893; data->Daten@0.841; models->Modelle@0.944
newv9_none_block	1	2	2022.acl-long.268	NA	25.561	30.152	But to begin with, what is lexical borrowing and why it matters as an NLP task?	Doch zunächst einmal: Was ist die lexikalische Entlehnung und warum ist sie als NLP-Aufgabe so wichtig?	haben. Ah, aber zunächst einmal, was sind lexikalische Entlehnungen und warum sie als NLP-Aufgabe wichtig sind?	90.291	5	4	4	4	1		lexical->lexikalische@0.875; NLP->NLP@0.835; task->Aufgabe@0.928; NLP task->NLP-Aufgabe@0.900; tasks->Aufgaben@0.898
newv9_none_block	1	3	2022.acl-long.268	NA	31.174	36.671	Well, lexical borrowing is basically the incorporation of words from one language into another language.	Die lexikalische Entlehnung ist im Grunde die Übernahme von Wörtern aus einer Sprache in eine andere Sprache.	Nun, lexikalische Entlehnungen sind im Grunde die Aufnahme von Wörtern aus einer Sprache in eine andere Sprache.	93.578	8	3	3	3	5		NLP task->NLP-Aufgabe@0.918; task->Aufgabe@0.886; tasks->Aufgaben@0.869; lexical->lexikalische@0.842; words->Wörtern@0.944; language->Sprache@0.933; word->Wort@0.860; languages->Sprachen@0.800
newv9_none_block	1	4	2022.acl-long.268	NA	36.671	40.177	For instance, in Spanish we use words that come from English.	Zum Beispiel verwenden wir im Spanischen Wörter, die aus dem Englischen stammen.	Zum Beispiel verwenden wir im Spanischen Wörtern aus dem Englischen, und	87.500	5	1	1	2	3		language->Sprache@0.933; languages->Sprachen@0.800; words->Wörtern@0.934; word->Wort@0.857; English->Englischen@0.932
newv9_none_block	1	5	2022.acl-long.268	NA	40.277	48.197	And here you have a few examples, words such as podcast, app, and online crowdfunding, all these are English words that we sometimes use in Spanish.	Und hier ein paar Beispiele: Wörter wie Podcast, App und Online-Crowdfunding sind englische Wörter, die wir manchmal im Spanischen verwenden.	hier haben Sie einige Beispiele. Wörtern wie Podcast, App, Online, Crowdfunding, all dies sind Wörtern aus dem Englischen, die wir manchmal im Spanischen verwenden.	96.454	4	1	1	3	1		words->Wörtern@0.934; English->Englischen@0.932; word->Wort@0.837; Online->Online@0.911
newv9_none_block	1	6	2022.acl-long.268	NA	48.239	56.375	Lexical borrowing is a type of linguistic borrowing um which is basically reproducing in one language patterns of other languages.	Die lexikalische Entlehnung ist eine Art der sprachlichen Entlehnung, die im Grunde genommen die Reproduktion von Mustern einer Sprache in einer anderen Sprache bedeutet.	Lexikalische Entlehnung ist eine Art der sprachlichen Entlehnung. Was im Grunde bedeutet, dass man in einer Sprache die Muster aller Sprachen nachahmt	80.000	3	3	2	3	0		linguistic->sprachlichen@0.833; language->Sprache@0.875; languages->Sprachen@0.937
newv9_none_block	1	7	2022.acl-long.268	NA	56.476	68.858	And borrowing and code switching have sometimes been compared and described as a continuum, code switching being ah the thing that bilinguals do where they mix two languages at the same time.	Manchmal wurde die Entlehnung mit dem Code-Switching verglichen und als ein Kontinuum beschrieben. Code-Switching wird von Zweisprachigen praktiziert, wenn sie zwei Sprachen gleichzeitig verwenden.	und Entlehnung und Code-Switching werden manchmal im Vergleich zu ein Kontinuum beschrieben. Code-Switching ist das, was Zweisprachige tun, wenn sie zwei Sprachen gleichzeitig mischen .	88.325	3	1	1	2	1		languages->Sprachen@0.937; language->Sprache@0.875; compared->im Vergleich zu@0.864
newv9_none_block	1	8	2022.acl-long.268	NA	69.121	72.513	There are however some differences between lexical borrowing and code-switching.	Es gibt jedoch einige Unterschiede zwischen lexikalischer Entlehnung und Code-Switching.	Es gibt jedoch einige Unterschiede zwischen lexikalischer Entlehnung und Code-Switching.	100.000	2	1	0	0	2		encoding->Kodierung@0.803; decoding->Dekodierung@0.787
newv9_none_block	1	9	2022.acl-long.268	NA	72.553	74.655	We're going to be focusing on lexical borrowing.	Wir werden uns auf die lexikalische Entlehnung konzentrieren.	Wir werden uns auf lexikalische Entlehnung konzentrieren,	91.803	3	1	1	1	2		encoding->Kodierung@0.803; decoding->Dekodierung@0.787; lexical->lexikalische@0.868
newv9_none_block	1	10	2022.acl-long.268	NA	74.755	89.618	Code switching is something that is done by bilinguals and by definition the code switches are not integrated into any of the languages in use, whereas lexical borrowing is something that is also done by monolinguals.	Zweisprachige Personen praktizieren das sogenannte Code-Switching. Per Definition sind die Code-Switches nicht Teil der verwendeten Sprachen, während die lexikalische Entlehnung auch von einsprachigen Personen verwendet wird.	Code-Switching ist etwas, das von Zweisprachigen und per Definition erfolgt, die Code-Switcher sind nicht in den Sprachen integriert, die verwendet werden, während lexikalische Entlehnung ebenfalls von einsprachiges Personen durchgeführt wird.	95.556	5	2	2	2	3	monolingual->einsprachiges@0.842	lexical->lexikalische@0.883; BIO->BIO@0.832; languages->Sprachen@0.944; language->Sprache@0.875; monolingual->einsprachiges@0.842
