sentence_index	term	translation	candidate_kind	candidate_span	audit_label	audit_note
0	Annotated Corpus	annotierter Korpus	fuzzy_inflection_candidate	annotierter korpora	wrong_translation	源文是单数标题，hypothesis 改成复数 Korpora 且结构不自然；保守判错。
17	words	Wörtern	fuzzy_inflection_candidate	wörter	valid_morphology	Wörter 是符合 hypothesis 句法的合法复数形式。
33	generalize	verallgemeinert	fuzzy_inflection_candidate	verallgemeinern	valid_morphology	情态结构 konnte 要求不定式 verallgemeinern。
55	BIO	BIO	spacing_or_hyphen_variant	bio	valid_compound_or_orthography	B, I, O 只是缩写字母的标点与空格展开。
68	detection	Erkennung	casefold_or_compound_substring	erkennung	valid_compound_or_orthography	Entlehnungserkennung 是 source 中 lexical borrowing detection 的合法复合词。
69	tasks	Aufgaben	fuzzy_inflection_candidate	aufgabe	wrong_translation	源文和 reference 都是复数，hypothesis 改为单数；保守不计入形态命中。
77	linguistic	sprachlichen	fuzzy_inflection_candidate	sprachliche	valid_morphology	不同句法结构触发合法的形容词词尾变化。
78	BiLSTM-CRF	BiLSTM-CRF	spacing_or_hyphen_variant	bilstmcrf	valid_compound_or_orthography	BiLSTM -CRF 仅多出空格。
83	BiLSTM-CRF	BiLSTM-CRF	spacing_or_hyphen_variant	bilstmcrf	valid_compound_or_orthography	BiLSTM -CRF 仅多出空格。
89	transformer	Transformer	casefold_or_compound_substring	transformer	valid_compound_or_orthography	句中 transformer-based 只存在大小写差异。
91	pretrained	vortrainiert	fuzzy_inflection_candidate	vortraining	valid_paraphrase	im Vortraining 表达了预训练阶段，语义可接受但不是同一屈折形式。
91	transformer	Transformer	casefold_or_compound_substring	transformer	valid_compound_or_orthography	句中 transformer-basierten 只存在大小写差异。
120	resources	Ressourcen	casefold_or_compound_substring	ressourcen	valid_morphology	ressourcenarmen 把 Ressourcen 合法派生为复合形容词，语义对应 low resources。
127	words	Wörtern	fuzzy_inflection_candidate	wörter	valid_morphology	Wörter 是 jedem 后所需结构中的合法复数形式。
141	morphological analyzer	morphologischen Analysator	fuzzy_inflection_candidate	morphologische analyse	wrong_translation	analysis 与 analyzer 指代不同，hypothesis 丢失了分析器实体。
145	words	Wörtern	casefold_or_compound_substring	örtern 	valid_compound_or_orthography	Eingabewörtern 是 input words 的合法德语复合词。
152	correlations	Korrelationen	casefold_or_compound_substring	korrelationen	valid_compound_or_orthography	Positionskorrelationen 是 positional correlations 的合法复合词。
153	pre-training	Vortrainings	fuzzy_inflection_candidate	vortraining-ziel	valid_compound_or_orthography	Vortraining-Ziel 与 Vortrainingsziel 是连字符/连接音书写变体，术语语义相同。
155	words	Wörtern	fuzzy_inflection_candidate	wörter	valid_morphology	Wörter 是合法的复数格形式变化。
160	models	Modelle	casefold_or_compound_substring	modelle	valid_compound_or_orthography	Basismodelle 精确表达 baseline models。
162	morphological analysis	morphologische Analyse	fuzzy_inflection_candidate	morphologischer analyse	valid_morphology	mittels 支配第二格，morphologischer Analyse 是合法屈折。
180	task	Aufgabe	casefold_or_compound_substring	aufgabe	valid_compound_or_orthography	aufgabe 被无空格拼接，目标词本身完整出现且语义正确。
182	task	Aufgabe	casefold_or_compound_substring	aufgabe	valid_compound_or_orthography	aufgabe 被无空格拼接，目标词本身完整出现且语义正确。
184	GLUE	GLUE	casefold_or_compound_substring	glue	valid_compound_or_orthography	专名仅大小写不同。
185	finetuning	Feinabstimmung	casefold_or_compound_substring	einabstimmungb	valid_compound_or_orthography	feinabstimmung 与后词错误粘连，但术语完整且语义正确。
185	KinyaBERT	KinyaBERT	casefold_or_compound_substring	inyabert 	valid_compound_or_orthography	专名仅大小写及前词粘连不同。
186	information	Informationen	casefold_or_compound_substring	informationen	valid_compound_or_orthography	仅句中名词大小写错误。
187	aspect	Aspekt	casefold_or_compound_substring	aspekt	valid_compound_or_orthography	仅句中名词大小写错误。
188	research	Forschung	casefold_or_compound_substring	forschung	valid_compound_or_orthography	仅句中名词大小写错误；单数也符合不可数 research。
195	answer	beantwortet	fuzzy_inflection_candidate	beantworten	valid_morphology	zu beantworten 是 hypothesis 句法要求的不定式。
199	decoder	Decoders	fuzzy_inflection_candidate	decoder	valid_morphology	改写句法后使用 Decoder，实体和术语语义不变。
202	sequence	Sequenz	casefold_or_compound_substring	sequenz	valid_compound_or_orthography	Eingabesequenz 精确表达 input sequence。
204	token	Token	casefold_or_compound_substring	token	valid_compound_or_orthography	Eingabetoken 精确表达 input token。
223	softmax	Softmax	spacing_or_hyphen_variant	softmax	valid_compound_or_orthography	Soft max 只是内部空格差异。
240	model	Modell	casefold_or_compound_substring	modell	valid_compound_or_orthography	Pyramidenmodell 是 source 中 pyramidion model 的合法复合词。
252	models	Modelle	casefold_or_compound_substring	modelle	valid_compound_or_orthography	Grundmodelle 合法表达 foundational models。
252	pretraining	Vortraining	casefold_or_compound_substring	ortrainings	valid_compound_or_orthography	Sprachvortrainingsziele 合法表达 language pretraining objectives。
256	parsing	Parsing	casefold_or_compound_substring	parsing	valid_compound_or_orthography	术语仅大小写不同。
257	Semantic	Semantic	casefold_or_compound_substring	SEMANTIC	valid_compound_or_orthography	Microsoft Semantic Machines 专名仅大小写不同。
275	graph	Graph	casefold_or_compound_substring	graph	valid_compound_or_orthography	Charaktergraph 是 character graph 的合法复合词。
286	dependency	Abhängigkeit	spacing_or_hyphen_variant	abhängigkeit	valid_compound_or_orthography	Programmab hängigkeitsstruktur 含流式输出空格裂分，语义对应 program dependency structure。
295	event	Ereignisses	fuzzy_inflection_candidate	ereigniszeit	valid_morphology	Ereigniszeit 精确表达 event time，并以复合词词干替代第二格形式。
296	dependency	Abhängigkeit	casefold_or_compound_substring	bhängigkeits	valid_compound_or_orthography	Programmabhängigkeitsstrukturen 合法表达 program dependency structures。
