dataset	method	lang	lm	instances_log	source_text	reference	audio_yaml	latency_unit
acl_tagged_raw	InfiniSST	zh	1	/mnt/taurus/data2/jiaxuanluo/RASST/docs/results/main_result_global_cache30_30_20_20/artifacts/acl_tagged_raw_infinisst_zh/lm1/instances.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_zh/source_text.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_zh/ref.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_zh/audio.yaml	char
acl_tagged_raw	InfiniSST	zh	2	/mnt/taurus/data2/jiaxuanluo/RASST/docs/results/main_result_global_cache30_30_20_20/artifacts/acl_tagged_raw_infinisst_zh/lm2/instances.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_zh/source_text.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_zh/ref.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_zh/audio.yaml	char
acl_tagged_raw	InfiniSST	zh	3	/mnt/taurus/data2/jiaxuanluo/RASST/docs/results/main_result_global_cache30_30_20_20/artifacts/acl_tagged_raw_infinisst_zh/lm3/instances.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_zh/source_text.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_zh/ref.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_zh/audio.yaml	char
acl_tagged_raw	InfiniSST	zh	4	/mnt/taurus/data2/jiaxuanluo/RASST/docs/results/main_result_global_cache30_30_20_20/artifacts/acl_tagged_raw_infinisst_zh/lm4/instances.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_zh/source_text.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_zh/ref.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_zh/audio.yaml	char
acl_tagged_raw	InfiniSST	ja	1	/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/acl6060_de_ja_results/ja/seg960/instances.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_ja/source_text.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_ja/ref.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_ja/audio.yaml	char
acl_tagged_raw	InfiniSST	ja	2	/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/acl6060_de_ja_results/ja/seg1920/instances.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_ja/source_text.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_ja/ref.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_ja/audio.yaml	char
acl_tagged_raw	InfiniSST	ja	3	/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/acl6060_de_ja_results/ja/seg2880/instances.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_ja/source_text.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_ja/ref.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_ja/audio.yaml	char
acl_tagged_raw	InfiniSST	ja	4	/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/acl6060_de_ja_results/ja/seg3840/instances.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_ja/source_text.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_ja/ref.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_ja/audio.yaml	char
acl_tagged_raw	InfiniSST	de	1	/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/acl6060_de_ja_results/de/seg960/instances.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_de/source_text.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_de/ref.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_de/audio.yaml	word
acl_tagged_raw	InfiniSST	de	2	/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/acl6060_de_ja_results/de/seg1920/instances.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_de/source_text.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_de/ref.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_de/audio.yaml	word
