language	paper_id	gold_occurrences	source_match	source_match_pct	source_target_pair_match	source_target_pair_match_pct	paper_glossary_entries
zh	2022.acl-long.110	204	21	10.2941	14	6.8627	56
zh	2022.acl-long.117	302	67	22.1854	53	17.5497	66
zh	2022.acl-long.268	272	52	19.1176	39	14.3382	58
zh	2022.acl-long.367	266	35	13.1579	25	9.3985	43
zh	2022.acl-long.590	129	39	30.2326	26	20.1550	63
ja	2022.acl-long.110	197	21	10.6599	9	4.5685	56
ja	2022.acl-long.117	291	61	20.9622	36	12.3711	66
ja	2022.acl-long.268	257	40	15.5642	37	14.3969	58
ja	2022.acl-long.367	253	31	12.2530	11	4.3478	43
ja	2022.acl-long.590	128	39	30.4688	20	15.6250	63
de	2022.acl-long.110	161	15	9.3168	8	4.9689	56
de	2022.acl-long.117	232	52	22.4138	40	17.2414	66
de	2022.acl-long.268	239	52	21.7573	49	20.5021	58
de	2022.acl-long.367	231	34	14.7186	28	12.1212	43
de	2022.acl-long.590	108	28	25.9259	24	22.2222	63
